invoice_number,invoice_date,client,po_number,received_sar,commission_rate_pct,commission_sar,file
INV-2026-WH-001,2026-08-17,Wadi Halfa,5EOBBQRQ,0.00,4,0.00,invoices/wadi_halfa/INV-2026-WH-001_5EOBBQRQ.csv
INV-2026-WH-002,2026-08-17,Wadi Halfa,8ZI1SK8E,0.00,4,0.00,invoices/wadi_halfa/INV-2026-WH-002_8ZI1SK8E.csv
INV-2026-WH-003,2026-08-17,Wadi Halfa,PO2600607394,1633.44,4,65.34,invoices/wadi_halfa/INV-2026-WH-003_PO2600607394.csv
INV-2026-WH-004,2026-08-17,Wadi Halfa,PO2600607555,884.78,4,35.39,invoices/wadi_halfa/INV-2026-WH-004_PO2600607555.csv
INV-2026-WH-005,2026-08-17,Wadi Halfa,6WAWK77S,948.15,4,37.93,invoices/wadi_halfa/INV-2026-WH-005_6WAWK77S.csv
INV-2026-WH-006,2026-08-17,Wadi Halfa,PO2600629370,240.91,4,9.64,invoices/wadi_halfa/INV-2026-WH-006_PO2600629370.csv
INV-2026-WH-007,2026-08-17,Wadi Halfa,PO2600629540,68.06,4,2.72,invoices/wadi_halfa/INV-2026-WH-007_PO2600629540.csv
INV-2026-WH-008,2026-08-17,Wadi Halfa,PO2600651634,2008.60,4,80.34,invoices/wadi_halfa/INV-2026-WH-008_PO2600651634.csv
INV-2026-WH-009,2026-08-17,Wadi Halfa,PO2600651819,1215.17,4,48.61,invoices/wadi_halfa/INV-2026-WH-009_PO2600651819.csv
INV-2026-SND-001,2026-08-17,SONDOS,6Z9UWMBO,45.00,6,2.70,invoices/sondos/INV-2026-SND-001_6Z9UWMBO.csv
INV-2026-SND-002,2026-08-17,SONDOS,7CS7ZUYR,128.40,6,7.70,invoices/sondos/INV-2026-SND-002_7CS7ZUYR.csv
INV-2026-SND-003,2026-08-17,SONDOS,2VS58KHE,122.40,6,7.34,invoices/sondos/INV-2026-SND-003_2VS58KHE.csv
INV-2026-SND-004,2026-08-17,SONDOS,5249UCBK,23.50,6,1.41,invoices/sondos/INV-2026-SND-004_5249UCBK.csv
INV-2026-SND-005,2026-08-17,SONDOS,64TUIPCQ,270.00,6,16.20,invoices/sondos/INV-2026-SND-005_64TUIPCQ.csv
INV-2026-SND-006,2026-08-17,SONDOS,1F6WGJRN,244.80,6,14.69,invoices/sondos/INV-2026-SND-006_1F6WGJRN.csv
INV-2026-MRH-001,2026-08-17,Marah,65T5PXVI,330.00,6,19.80,invoices/marah/INV-2026-MRH-001_65T5PXVI.csv
INV-2026-MRH-002,2026-08-17,Marah,6Z9UWMBO,577.50,6,34.65,invoices/marah/INV-2026-MRH-002_6Z9UWMBO.csv
INV-2026-MRH-003,2026-08-17,Marah,7CS7ZUYR,2310.00,6,138.60,invoices/marah/INV-2026-MRH-003_7CS7ZUYR.csv
INV-2026-MRH-004,2026-08-17,Marah,5249UCBK,247.50,6,14.85,invoices/marah/INV-2026-MRH-004_5249UCBK.csv
INV-2026-MRH-005,2026-08-17,Marah,64TUIPCQ,385.00,6,23.10,invoices/marah/INV-2026-MRH-005_64TUIPCQ.csv
INV-2026-MRH-006,2026-08-17,Marah,13WKUXGQ,364.80,6,21.89,invoices/marah/INV-2026-MRH-006_13WKUXGQ.csv
INV-2026-MRH-007,2026-08-17,Marah,17WV7XMX,456.00,6,27.36,invoices/marah/INV-2026-MRH-007_17WV7XMX.csv
INV-2026-MRH-008,2026-08-17,Marah,53LUQGQJ,110.00,6,6.60,invoices/marah/INV-2026-MRH-008_53LUQGQJ.csv

TOTAL Wadi Halfa,,,,,,279.97,
TOTAL SONDOS,,,,,,50.04,
TOTAL Marah,,,,,,286.85,
