month,brand,pos,units,requested_sar,received_sar,commission_sar
2025-09,Marah,3,86,2248.4,0,0
2025-09,SONDOS,4,18,1072.44,205.6,12.34
2025-10,Marah,9,936,7503.7,398,23.88
2025-10,SONDOS,8,136,5042.58,1101.6,66.1
2025-11,Marah,16,3174,20973.3,2358.2,141.49
2025-11,SONDOS,11,803,20778.1,4409.7,264.59
2025-12,Marah,8,109,2288.64,2085.7,125.15
2025-12,SONDOS,6,17,533.59,713.9,42.83
2026-01,Marah,6,783,4731.4,4595.5,275.73
2026-01,SONDOS,4,17,498.7,421.9,25.32
2026-02,Marah,9,272,3302.16,2941.54,176.49
2026-02,SONDOS,5,66,2958.1,1566.1,93.96
2026-03,Marah,9,132,1685.64,1647.8,98.86
2026-03,SONDOS,7,43,2351,2351,141.06
2026-04,Marah,8,1415,9297.34,9314.84,558.88
2026-04,SONDOS,4,35,2183.6,2428.4,145.71
2026-05,Marah,13,595,5790.2,6281.3,376.86
2026-05,SONDOS,7,42,2508,2325.6,139.53
2026-06,Marah,8,208,2686.9,2430.1,145.79
2026-06,SONDOS,7,51,1828.4,1751,105.06
2026-06,Wadi Halfa,4,101,1495.74,953.85,38.15
2026-07,Marah,13,590,6394.82,5445.3,326.71
2026-07,SONDOS,6,62,750.1,589.3,35.35
2026-07,Wadi Halfa,18,781,7062.65,3775.34,151.02
2026-08,Marah,3,28,930.8,930.8,55.85
2026-08,SONDOS,1,4,244.8,244.8,14.69
2026-08,Wadi Halfa,2,378,3223.77,3223.77,128.95
