brand,po_number,channel,order_date,delivered_date,fulfillment_center,units,requested_sar,received_sar,accept_pct,fulfill_pct,outcome,commission_rate_pct,commission_sar
Marah,65T5PXVI,Amazon Retail,2026-07-19,2026-07-28,RDF1,10,330.00,330.00,100,100,Delivered,6,19.80
Marah,6Z9UWMBO,Amazon Retail,2026-07-19,2026-07-29,RUH8,95,577.50,577.50,100,100,Delivered,6,34.65
Marah,7CS7ZUYR,Amazon Retail,2026-07-19,2026-07-29,JED4,222,2310.00,2310.00,100,100,Delivered,6,138.60
Marah,5249UCBK,Amazon Retail,2026-07-26,2026-07-28,RUH8,45,247.50,247.50,100,100,Delivered,6,14.85
Marah,64TUIPCQ,Amazon Retail,2026-07-26,2026-08-09,JED4,70,385.00,385.00,100,100,Delivered,6,23.10
Marah,13WKUXGQ,Amazon Retail,2026-08-06,2026-08-12,JED4,8,364.80,364.80,100,100,Delivered,6,21.89
Marah,17WV7XMX,Amazon Retail,2026-08-06,2026-08-11,RDF1,10,456.00,456.00,100,100,Delivered,6,27.36
Marah,53LUQGQJ,Amazon Retail,2026-08-06,2026-08-12,JED4,10,110.00,110.00,100,100,Delivered,6,6.60
SONDOS,6Z9UWMBO,Amazon Retail,2026-07-19,2026-07-29,RUH8,6,45.00,45.00,100,100,Delivered,6,2.70
SONDOS,7CS7ZUYR,Amazon Retail,2026-07-19,2026-07-29,JED4,26,256.80,128.40,100,50,Shortage,6,7.70
SONDOS,2VS58KHE,Amazon Retail,2026-07-26,2026-07-28,RDF1,2,122.40,122.40,100,100,Delivered,6,7.34
SONDOS,5249UCBK,Amazon Retail,2026-07-26,2026-07-28,RUH8,2,23.50,23.50,100,100,Delivered,6,1.41
SONDOS,64TUIPCQ,Amazon Retail,2026-07-26,2026-08-09,JED4,18,135.00,270.00,100,200,Delivered,6,16.20
SONDOS,1F6WGJRN,Amazon Retail,2026-08-02,2026-08-04,RDF1,4,244.80,244.80,100,100,Delivered,6,14.69
Wadi Halfa,5EOBBQRQ,Amazon Retail,2026-07-19,2026-07-26,RUH8,24,218.64,0.00,0,0,Rejected,4,0.00
Wadi Halfa,8ZI1SK8E,Amazon Retail,2026-07-19,2026-07-26,JED4,49,446.39,0.00,0,0,Rejected,4,0.00
Wadi Halfa,PO2600607394,Ninja Retail,2026-07-20,2026-08-13,RUH8,240,2196.96,1633.44,100,74,Shortage,4,65.34
Wadi Halfa,PO2600607555,Ninja Retail,2026-07-20,2026-08-13,JED4,130,1190.02,884.78,100,74,Shortage,4,35.39
Wadi Halfa,6WAWK77S,Amazon Retail,2026-07-26,2026-08-11,RUH8,32,674.24,948.15,100,141,Delivered,4,37.93
Wadi Halfa,PO2600629370,Ninja Retail,2026-07-27,2026-08-13,RUH8,116,780.95,240.91,100,31,Shortage,4,9.64
Wadi Halfa,PO2600629540,Ninja Retail,2026-07-27,2026-08-13,JED4,62,396.78,68.06,100,17,Shortage,4,2.72
Wadi Halfa,PO2600651634,Ninja Retail,2026-08-03,2026-08-13,RUH8,238,2008.60,2008.60,100,100,Delivered,4,80.34
Wadi Halfa,PO2600651819,Ninja Retail,2026-08-03,2026-08-13,JED4,140,1215.17,1215.17,100,100,Delivered,4,48.61
