brand,po_number,channel,order_date,delivered_date,fulfillment_center,units,requested_sar,received_sar,accept_pct,fulfill_pct,outcome,commission_rate_pct,commission_sar
Marah,8VVFT9PI,Amazon Retail,9/14/2025,3/1/2026,JED4,76,2138.4,0,0,0,Cancelled,6,0
Marah,3EZ3B41A,Amazon Retail,9/25/2025,3/1/2026,JED4,5,55,0,100,0,Cancelled,6,0
Marah,2OR6EQMN,Amazon Retail,9/28/2025,3/1/2026,JED4,5,55,0,100,0,Cancelled,6,0
Marah,13XNC3UZ,Amazon Retail,10/5/2025,3/1/2026,JED4,36,1279.2,0,0,0,Cancelled,6,0
Marah,8C8ZHJUB,Amazon Retail,10/5/2025,3/1/2026,RUH8,5,55,0,0,0,Cancelled,6,0
Marah,4TN3ZVSL,Amazon Retail,10/12/2025,12/31/2025,JED4,21,609.4,288,100,47,Cancelled,6,17.28
Marah,6PP725QB,Amazon Retail,10/12/2025,11/2/2025,RUH8,20,223.5,110,100,49,Shortage,6,6.6
Marah,5NRV1UJB,Amazon Retail,10/19/2025,3/1/2026,JED4,128,898.1,0,0,0,Cancelled,6,0
Marah,78NAQWEM,Amazon Retail,10/19/2025,3/1/2026,RUH8,320,1911.5,0,0,0,Cancelled,6,0
Marah,71RVXBLU,Amazon Retail,10/21/2025,3/1/2026,RUH8,2,51.6,0,0,0,Cancelled,6,0
Marah,7PSVFJOX,Amazon Retail,10/26/2025,3/1/2026,JED4,123,892.7,0,0,0,Cancelled,6,0
Marah,8RSMCYZA,Amazon Retail,10/26/2025,3/1/2026,RUH8,281,1582.7,0,0,0,Cancelled,6,0
Marah,481D75AL,Amazon Retail,11/2/2025,3/1/2026,RUH8,407,2281.9,0,0,0,Cancelled,6,0
Marah,7CR8MEDE,Amazon Retail,11/2/2025,3/1/2026,JED4,513,3240.2,0,0,0,Cancelled,6,0
Marah,2PRVZ2QJ,Amazon Retail,11/6/2025,3/1/2026,RUH8,2,72,0,0,0,Cancelled,6,0
Marah,4ELTCYLQ,Amazon Retail,11/6/2025,3/1/2026,JED4,2,72,0,0,0,Cancelled,6,0
Marah,4SOV5ZPQ,Amazon Retail,11/9/2025,3/1/2026,RUH8,566,3143.5,0,0,0,Cancelled,6,0
Marah,89E9VAQM,Amazon Retail,11/9/2025,3/1/2026,JED4,573,3586.4,0,0,0,Cancelled,6,0
Marah,3VGCXDFL,Amazon Retail,11/10/2025,3/1/2026,JED4,3,108,0,0,0,Cancelled,6,0
Marah,6V2QLC8V,Amazon Retail,11/10/2025,3/1/2026,RUH8,1,36,0,0,0,Cancelled,6,0
Marah,3VQF583P,Amazon Retail,11/16/2025,3/1/2026,JED4,19,474.8,0,0,0,Cancelled,6,0
Marah,7J5A33FT,Amazon Retail,11/16/2025,3/1/2026,RUH8,17,524.2,0,0,0,Cancelled,6,0
Marah,1JV74U5F,Amazon Retail,11/23/2025,3/1/2026,JED4,803,5076.8,0,0,0,Cancelled,6,0
Marah,2ZICET5J,Amazon Retail,11/23/2025,3/1/2026,RUH8,22,455.4,0,0,0,Cancelled,6,0
Marah,4PTXU81M,Amazon Retail,11/23/2025,3/1/2026,XKSR,2,96,0,0,0,Cancelled,6,0
Marah,2P93YCEF,Amazon Retail,11/30/2025,12/17/2025,XKSR,4,110.4,110.4,100,100,Delivered,6,6.62
Marah,6DY1IPME,Amazon Retail,11/30/2025,1/8/2026,RUH8,5,199.2,244.8,100,123,Delivered,6,14.69
Marah,6WB73PWY,Amazon Retail,11/30/2025,2/28/2026,JED4,235,1496.5,2003,100,134,Delivered,6,120.18
Marah,5EN36W7Q,Amazon Retail,12/7/2025,12/17/2025,XKSR,8,220.8,220.8,100,100,Delivered,6,13.25
Marah,6CZVU75G,Amazon Retail,12/7/2025,12/31/2025,JED4,8,339.84,136.8,100,40,Shortage,6,8.21
Marah,7M6TKRHR,Amazon Retail,12/7/2025,1/2/2026,RUH8,30,192.5,143,100,74,Shortage,6,8.58
Marah,6TDL7ZQP,Amazon Retail,12/14/2025,12/27/2025,RUH8,29,283.9,333.5,100,117,Delivered,6,20.01
Marah,6PSDP49U,Amazon Retail,12/21/2025,12/27/2025,JED4,12,349.2,349.2,100,100,Delivered,6,20.95
