Store Name (EN),Store Name (AR),Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
3Days Gym,3Days Gym,Sports & Fitness,High,100,https://3daysksa.com/en,info@tsport.sa,"966920012527, 966920015223","+966920012527, +966920015223",https://instagram.com/3daysksa,3daysksa,3daysksa.com,,"Fitness & Outdoor, Fitness & Outdoors",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/3days-gym,"paymentLink, split-in-4",ok,It's basically a gym with a different style of exercise. 3 days focused on the effectiveness of the exercise. Meaning that 3 days of exercise with effect can help you achieve your goals
AL 3bor,AL 3bor,Fashion & Apparel,High,100,https://al3bor-telecom.com,al3boor4019@gmail.com,"+966546846404, 966546846404",,https://instagram.com/al3bor,al3bor,al3bor,al3bor2015,"Electronics, Fashion & Apparel",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-3bor-01890d36-7d43-08b9-4478-0a8bb89d94d1,"paymentLink, split-in-4",ok,
Al Fakhera,Al Fakhera,Fashion & Apparel,High,100,https://alfakhera.com,info@alfakhera.com,"+966920000255, 966505050505, 966920000255",+966920000255,https://instagram.com/alfakhera1,"alfakhera1, uwt",alfakhera1,alfakhera1,"Fashion, Fashion & Apparel",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-fakhera,"paymentLink, split-in-4",ok,Specializing in high-end men's tailoring. It is considered one of the largest companies in the Gulf in its field.
Al Saif Gallery,Al Saif Gallery,"Home, Furniture & Appliances",High,100,https://alsaifgallery.com,cs@alsaifgallery.com,"+966920009016, +966920009017",,https://instagram.com/alsaifgallery38,alsaifgallery,alsaifgallery,alsaifgallery36,"Home & Appliances, Home & Garden, المنزل",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-saif-gallery,"deals, paymentLink, split-in-4",ok,
alamal dental,alamal dental,Beauty & Personal Care,High,100,https://alamaldentels.com,alamaldentel@gmail.com,"+966550074350, 966550074350",,https://instagram.com/alamaldent,,,alamaldental,"Clinics, Health & Wellness",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-amal-dental-center,"paymentLink, split-in-4",ok,
Aleph,Aleph,Electronics & Tech,High,100,https://alephksa.com,info@stagheaddesigns.com,"05127741702, 05246697768, 05250652456, 05263956264, 05263989032, 05276025128",,https://instagram.com/alephksa,alephksa,aleph.ksa,alephksa,"Electronics, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/aleph,"deals, paymentLink, qrFlow, split-in-4",ok,Aleph is your destination for a premium Apple experience. An ideal environment spearheaded by fun and friendly Apple Certified Professionals.
Almeswak,Almeswak,Beauty & Personal Care,High,100,https://almeswak.com,info@almeswak.com,920035507,,https://instagram.com/meswakofficial,meswakofficial,meswakofficial,,"Clinics, Health & Wellness, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-meswak,"deals, paymentLink, split-in-4",ok,
Ashwered,Ashwered,Electronics & Tech,High,100,https://ashwered.com,info@ashwered.com,"+966920006487, 920006487, 966920006487",+966920006487,https://instagram.com/alshweredsa,"alshweredsa, uwt",alshweredsa,alshweredsa,"Electronics, Technology & Electronics",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/ashwered,"paymentLink, split-in-4",ok,
Beauty corner,بيوتي كورنر,Beauty & Personal Care,High,100,https://ksabeautycorner.com,bc.roknaljamal@gmail.com,"+966550851198, 966505050505, 966550851198",+966550851198,https://instagram.com/beautycorner.ksa,uwt,beautycornersa,," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/beauty-corner-ksa-01890d36-7d44-ac4c-148f-1587e6cb0de0,"paymentLink, split-in-4",ok,"We are keen to provide high-quality cosmetic products, which have undergone rigorous tests to ensure their safety and effectiveness."
Bla Rfof,المصمم الحديث,Fashion & Apparel,High,100,https://designer.sa,"info@designer.sa, support@designer.sa","+966507167121, 05098254261, 05236903041, 05297661314, 05324414226, 05535584652",+966507167121,https://instagram.com/designer._sa,designer__sa1,designer.sa,designer-sa,"Fashion, Fashion & Apparel, Others, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/modern-designer,"paymentLink, split-in-4",ok,Modern Designer Store is a specialized site in designing and selling women's and girls' dresses and jalabiyas. Offering innovative models for all occasions at reasonable prices and with fast shipping.
